matmult ns/fp operation
  n   ijk   jik   jki   kji   kij   ikj
 50  1.10  1.13  0.62  0.67  0.84  0.83 
100  1.32  1.31  0.69  0.69  0.82  0.81 
150  1.31  1.29  0.66  0.65  0.81  0.80 
200  1.30  1.29  0.78  0.76  0.81  0.80 
250  1.32  1.28  0.86  0.77  0.81  0.79 
300  1.31  1.28  3.43  3.42  0.83  0.81 
350  1.31  1.28  3.92  3.89  0.84  0.81 
400  1.89  1.90  4.18  4.17  0.84  0.82 
450  2.20  2.20  4.71  4.69  0.83  0.82 
500  2.55  2.55  5.13  5.12  0.83  0.81 
550  2.66  2.65  5.24  5.23  0.83  0.81 
600  2.69  2.68  5.36  5.34  0.83  0.81 
650  2.73  2.72  5.38  5.34  0.83  0.83 
