matmult ns/fp operation
  n   ijk   jik   jki   kji   kij   ikj
 50  0.93  0.96  0.98  0.96  0.96  0.95 
100  1.04  1.06  1.04  1.02  1.01  1.01 
150  1.02  0.65  0.66  0.63  0.62  0.62 
200  0.68  0.65  0.71  0.73  1.01  0.63 
250  0.67  0.65  0.85  0.82  0.65  0.62 
300  0.69  0.67  1.59  1.61  0.64  0.62 
350  0.72  0.68  1.87  1.90  0.64  0.62 
400  0.99  1.02  1.89  1.91  0.64  0.62 
450  0.82  0.78  1.88  1.91  0.64  0.62 
500  0.90  0.93  1.89  1.90  0.63  0.61 
550  1.00  1.01  1.87  1.89  0.63  0.61 
600  1.02  1.00  1.89  1.92  0.63  0.61 
650  1.01  1.00  1.85  1.88  0.63  0.61 
700  1.01  1.00  1.85  1.89  0.63  0.61 
750  1.04  1.02  1.86  1.90  0.63  0.61 
