Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	
128m	5427	2757	1939	1455	1151	951	803	701	672	646	626	610	602	598	603	
64m	5496	2760	1936	1459	1149	949	803	703	666	644	621	610	601	598	603	
32m	5498	2758	1938	1454	1151	934	811	704	671	645	625	611	602	597	603	
16m	5506	2769	1941	1460	1153	953	811	705	672	646	626	614	606	606	621	
8m	5657	2977	2090	1586	1251	1035	882	766	777	836	1018	1365	1906	2333	3487	
4m	10401	8422	7522	6468	5469	4809	4284	3894	3900	3899	3898	3897	3905	3907	3931	
2m	10401	8418	7517	6468	5465	4804	4284	3898	3896	3897	3893	3897	3905	3907	3928	
1024k	10479	8469	7578	6508	5510	4854	4326	3935	3939	3945	3951	3963	3971	3981	3998	
512k	10486	8465	7578	6508	5514	4854	4330	3938	3945	3952	3956	3969	3974	3988	3559	
256k	10479	8456	7578	6503	5510	4850	4322	3931	3935	3938	3944	3958	3965	3971	3987	
128k	10473	8443	7552	6488	5496	4833	4307	3920	3912	3922	3923	3938	3931	3948	3945	
64k	10460	8414	7537	6463	5474	4817	4295	3902	3897	3899	3893	3905	3899	3894	6133	
32k	17485	16744	16268	15798	15242	15321	14692	14158	17489	17381	17327	17059	17421	17332	16643	
16k	18756	18386	17852	17688	17370	17059	16919	18206	18028	17773	17717	17735	15663	17363	17154	
