Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	
128m	13633	8439	5905	4511	3528	2925	2482	2152	1900	1704	1548	1416	1303	1206	1122	
64m	13674	8475	5933	4532	3537	2932	2488	2156	1903	1708	1551	1419	1306	1207	1126	
32m	13759	8555	6012	4590	3562	2943	2499	2167	1913	1716	1561	1429	1314	1217	1133	
16m	14004	8717	6221	4763	3692	3008	2566	2228	1968	1761	1599	1466	1355	1262	1182	
8m	14461	9832	7513	6019	4926	4095	3521	3078	2759	2502	2303	2147	1997	1890	1777	
4m	16692	14340	11112	9489	7898	6739	5884	5196	4667	4243	3907	3613	3362	3150	2957	
2m	16799	14577	11228	9592	7993	6838	5971	5273	4732	4302	3954	3661	3409	3189	2988	
1024k	16888	14738	11360	9695	8067	6889	6011	5309	4764	4335	3983	3683	3430	3207	3012	
512k	16874	14708	11332	9667	8066	6873	6006	5297	4756	4322	3975	3679	3425	3202	3006	
256k	16885	15051	12001	10890	9707	8761	7853	6999	6307	5755	5294	4909	4572	4269	4021	
128k	16890	15440	12706	12432	12322	11979	11003	10091	9205	8569	7895	7285	6753	6271	5914	
64k	16828	15408	12709	12400	12311	11935	11179	10258	9294	8559	7915	7283	6728	6272	5903	
32k	16979	16562	16344	15930	15771	15492	15137	14881	14767	14361	14571	13973	13594	13468	13157	
16k	16884	16524	16235	15838	15489	15283	14881	14589	14109	15097	14937	14628	14187	14411	14000	
