Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	
128m	16865	9052	5840	4304	3401	2791	2347	2050	1903	1787	1691	1605	1555	1511	1487	
64m	16936	9083	5853	4315	3408	2800	2352	2053	1907	1789	1694	1608	1557	1514	1491	
32m	17099	9199	5884	4334	3425	2820	2370	2069	1920	1804	1708	1625	1580	1546	1538	
16m	17417	9543	6020	4460	3513	2895	2458	2167	2045	1949	1883	1822	1822	1840	1921	
8m	19650	11927	8145	6106	4964	4245	3683	3281	3167	3042	3088	3147	3493	3921	4140	
4m	28948	19157	13456	10330	8417	7139	6197	5492	5290	5138	5074	4967	4878	4880	4855	
2m	29486	19588	13789	10586	8641	7339	6390	5653	5429	5254	5113	5001	4935	4886	4851	
1024k	29457	19573	13782	10581	8645	7333	6382	5649	5423	5247	5110	4999	4932	4878	4843	
512k	29602	19994	14437	11194	9122	7765	6753	5988	5759	5601	5495	5409	5376	5328	5417	
256k	30063	21694	17226	13675	11194	9525	8279	7369	7153	7026	7010	7001	7021	7260	7458	
128k	30870	24954	24175	20432	17240	14671	12663	11270	11240	11269	11267	11263	11235	11236	11262	
64k	30882	24897	24022	20372	17103	14522	12634	11212	11146	11095	11124	11063	11193	11919	18532	
32k	33082	31752	30680	30076	28678	27774	26691	25600	27813	29799	29706	28985	28434	28978	27911	
16k	33124	31599	30831	29257	29816	28870	29068	27840	27063	28611	27181	26781	26405	25767	29291	
