Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	
128m	6677	5642	4117	3138	2507	2081	1781	1559	1434	1338	1264	1206	1165	1135	1122	
64m	9478	5639	4115	3138	2506	2079	1781	1559	1434	1338	1264	1206	1165	1135	1122	
32m	9471	5639	4113	3135	2505	2080	1780	1559	1433	1338	1263	1205	1164	1134	1121	
16m	9460	5634	4107	3134	2503	2079	1778	1558	1434	1341	1271	1219	1188	1166	1162	
8m	10745	7173	5382	4308	3570	3012	2592	2276	2239	2332	2548	2813	3146	3334	3382	
4m	12595	9008	6517	6106	5488	4752	4133	3666	3622	3600	3590	3557	3556	3549	3550	
2m	12606	8953	6493	6114	5480	4749	4131	3658	3623	3598	3580	3558	3546	3540	3537	
1024k	12617	8986	6499	6135	5493	4753	4135	3661	3625	3600	3585	3562	3552	3543	3543	
512k	12585	8999	6522	6188	5487	4744	4128	3654	3632	3627	3639	3581	3670	3690	3795	
256k	12722	9231	7654	7434	6807	5910	5194	4854	4961	5092	5123	5192	5182	5131	5201	
128k	13363	9687	8915	7914	7159	6111	5324	5358	5284	5275	5263	5231	5212	5163	5177	
64k	13314	9617	8860	8127	7123	6058	5295	5382	5265	5263	5185	5169	5126	5137	7636	
32k	13295	13026	12831	12528	12240	12065	11601	11477	12023	13750	11966	13062	12800	11606	12543	
16k	14940	14502	12590	13722	13378	13047	11916	14577	14150	15980	15674	15273	15101	14694	14596	
