Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	
128m	3986	2129	1415	1079	856	719	594	530	461	429	387	351	331	308	283	
64m	4013	2105	1406	1080	860	717	597	531	466	426	387	352	331	309	285	
32m	4006	2081	1406	1081	860	717	592	528	475	425	387	352	328	310	286	
16m	4036	2131	1407	1070	852	714	586	527	465	426	387	353	328	311	287	
8m	4021	2109	1433	1082	859	709	596	532	477	429	391	353	328	309	285	
4m	4058	2175	1408	1088	874	729	609	536	474	440	396	365	338	319	294	
2m	4038	2334	1529	1201	960	770	692	600	540	477	438	398	382	348	323	
1024k	4621	4218	3679	3110	2677	2252	1981	1556	1531	1468	1323	1240	1135	1024	971	
512k	4665	4510	4195	3612	3034	2580	2294	1927	1843	1672	1536	1432	1322	1253	1158	
256k	4644	4377	4034	3563	3131	2705	2358	1904	1905	1750	1599	1471	1366	1304	1219	
128k	4549	4311	3978	3621	3030	2691	2371	2033	1981	1755	1638	1552	1438	1375	1294	
64k	4594	4388	4148	3988	3827	3577	3516	3355	3242	3097	3020	2913	2836	2755	2674	
32k	4656	4486	4426	4280	4194	4112	3994	3860	3804	3700	3688	3584	3456	3424	3355	
16k	4543	4324	4132	3908	3783	3615	3490	3311	3177	3145	2971	2872	2805	2683	2663	
