Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	
128m	16636	8966	5846	4298	3403	2789	2348	2055	1904	1786	1693	1607	1555	1513	1488	
64m	16925	9080	5860	4307	3408	2795	2352	2058	1912	1791	1695	1608	1560	1517	1493	
32m	17168	9212	5897	4331	3431	2822	2375	2078	1924	1809	1713	1628	1586	1548	1540	
16m	17405	9559	6027	4458	3520	2899	2465	2179	2049	1952	1883	1825	1825	1832	1868	
8m	19339	11837	8045	6079	4927	4246	3745	3289	3131	3026	2899	2924	3114	3326	3623	
4m	20728	16852	13212	10371	8542	7259	6345	5627	5396	5228	5090	4977	4903	4848	4838	
2m	29025	19350	13735	10550	8610	7308	6361	5648	5417	5241	5094	4978	4907	4861	4829	
1024k	29291	19543	13689	10508	8597	7281	6354	5628	5388	5218	5071	4956	4890	4841	4796	
512k	29290	19411	13779	10594	8667	7390	6438	5684	5453	5325	5213	5128	5059	5005	5057	
256k	29762	21456	16905	13504	11044	9359	8175	7240	7082	6889	6858	6835	6882	7042	7377	
128k	30042	23953	22661	18952	15706	13602	11761	10409	10184	10137	10158	9875	9788	10590	10365	
64k	29468	23044	21501	19208	15955	13551	11784	10516	10364	10320	10262	10132	10184	11881	17564	
32k	28870	28719	29106	27888	26884	28059	26335	26110	26305	29201	29054	28530	28000	28668	27978	
16k	30341	29871	30402	28973	29464	28643	29046	27746	26070	27955	27259	25816	26284	24729	29538	
